mediamatch_userevent.phone_no,mediamatch_userevent.run_name,mediamatch_userevent.run_time,mediamatch_userevent.owner_name,mediamatch_userevent.owner_code,mediamatch_userevent.open_time,mediamatch_userevent.sm_name
2037131,主动暂停,2009/8/16 0:15,HC级,00,2007-05-11 15:23:00,数字电视
2013841,正常,1994/7/1 0:00,HC级,00,1994-06-01 00:00:00,模拟有线电视
2030781,主动暂停,2017/12/3 14:11,HC级,00,2008-09-11 16:09:40,互动电视
2014535,正常,2000/2/2 0:00,HC级,00,2000-02-02 00:00:00,模拟有线电视
2022504,正常,1994/1/1 0:00,HC级,00,1994-01-01 00:00:00,模拟有线电视
2036865,正常,2018/4/22 12:42,HC级,00,2008-02-04 13:35:45,互动电视
2032203,正常,1994/8/1 0:00,HC级,00,1994-08-01 00:00:00,模拟有线电视
2024870,正常,2009/2/4 11:16,HC级,00,2007-12-29 12:43:47,数字电视
2046825,主动暂停,2016/8/31 12:06,HC级,00,2007-08-14 13:31:28,数字电视
2036462,欠费暂停,2015/12/20 10:09,HC级,00,2007-06-28 10:00:48,数字电视
2027573,主动暂停,2010/5/9 10:36,HC级,00,2008-07-28 15:24:41,模拟有线电视
2047537,欠费暂停,2017/10/28 8:57,HC级,00,2007-05-28 10:12:08,数字电视
2048561,正常,2009/2/28 15:05,HC级,00,2007-04-11 08:38:18,数字电视
2021577,正常,2009/3/1 8:27,HC级,00,2007-04-02 17:01:41,甜果电视
2022054,主动暂停,2016/7/17 12:04,HC级,00,2007-04-29 08:54:03,数字电视
2049976,正常,2009/2/28 0:53,HC级,00,2007-08-02 14:15:55,互动电视
2014367,正常,2010/1/7 10:06,HC级,00,1996-09-01 00:00:00,模拟有线电视
2018674,正常,2010/6/20 10:51,HC级,00,2007-05-06 15:10:01,数字电视
2044309,正常,2006/2/1 14:05,HC级,00,2005-04-12 17:29:18,模拟有线电视
2024658,正常,1999/8/1 0:00,HC级,00,1999-08-01 00:00:00,模拟有线电视
2042689,主动暂停,2013/3/28 13:58,HC级,00,2007-06-14 14:36:28,数字电视
2015841,正常,2009/2/28 14:17,HC级,00,1993-10-01 00:00:00,模拟有线电视
2027655,主动销户,2016/6/30 15:27,HC级,00,2007-05-28 09:32:36,互动电视
2029942,正常,1994/6/1 0:00,HC级,00,1994-06-01 00:00:00,模拟有线电视
2019557,正常,2015/1/24 15:30,HC级,00,2007-06-09 17:28:31,甜果电视
2034618,正常,2008/11/26 15:29,HC级,00,2008-11-26 15:26:55,数字电视
2025322,主动销户,1996/4/1 0:00,HC级,00,1996-04-01 00:00:00,模拟有线电视
2031735,正常,1996/7/25 0:00,HC级,00,1996-07-25 00:00:00,模拟有线电视
2030629,主动销户,1998/1/1 0:00,HC级,00,1998-01-01 00:00:00,模拟有线电视
2026097,正常,2009/2/28 14:49,HC级,00,2001-06-21 00:00:00,模拟有线电视
2042215,主动销户,2009/1/9 11:15,HC级,00,2008-01-15 15:23:17,数字电视
