order_100000.phone_no,order_100000.owner_name,order_100000.optdate,order_100000.prodname,order_100000.sm_name,order_100000.offerid,order_100000.offername,order_100000.business_name,order_100000.owner_code,order_100000.prodprcid,order_100000.prodprcname,order_100000.effdate,order_100000.expdate,order_100000.orderdate,order_100000.cost,order_100000.mode_time,order_100000.prodstatus,order_100000.run_name,order_100000.orderno,order_100000.offertype
2002981,HE级,2017-10-28 15:41:00,应用类_点播,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,BY,正常,2155351288,0
2002981,HE级,2016-11-01 00:52:15,广州个人用户免费专区点播,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2015-10-01 00:46:34,所有基本节目_时移,互动电视,GZ122453,互动49元过渡包,到期暂停状态,NULL,NULL,NULL,2015-09-03 00:00:00,2015-09-30 23:59:59,2015-09-03 19:02:33,NULL,N,YD,正常,2088328067,1
2002981,HE级,2015-10-01 00:46:34,标高清直播基本包_广州,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2013-09-18 00:00:00,2015-09-30 23:59:59,2013-09-18 14:12:48,NULL,N,YD,正常,245010385,0
2002981,HC级,2016-11-01 00:52:15,标清直播基本包_广州,互动电视,GZ122407,互动49元包,到期暂停状态,00,120709,互动49元包-包月-49元,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,49,Y,YD,正常,2088327859,0
2002981,HE级,2014-01-01 00:52:23,所有基本节目_时移,互动电视,00133808,全时移回看(包3个月)(0元/月),到期暂停状态,NULL,NULL,NULL,2013-09-18 14:13:37,2013-12-31 23:59:59,2013-09-18 14:13:37,NULL,N,YD,正常,245010385,1
2002981,HE级,2016-10-17 15:50:30,标清直播基本包_广州,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,互动标准包-包月-26.5元,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,Y,YY,正常,2155351288,0
2002981,HC级,2017-10-28 15:41:00,标清直播基本包_广州,互动电视,GD000300,互动标准包,正常状态,00,R2488,互动标准包-包月-26.5元,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,26.5,Y,BY,正常,2155351288,0
2002981,HE级,2016-11-01 00:52:15,标高清直播基本包_广州,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2016-04-16 15:01:03,标高清直播基本包_广州,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2015-10-01 00:46:34,精彩点_点播,互动电视,GZ122453,互动49元过渡包,到期暂停状态,NULL,NULL,NULL,2015-09-03 00:00:00,2015-09-30 23:59:59,2015-09-03 19:02:33,NULL,N,YD,正常,2088328067,1
2002981,HE级,2016-04-16 15:01:03,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,NULL,NULL,0资费,2013-09-18 00:00:00,2050-01-01 00:00:00,2013-09-18 14:12:48,NULL,Y,BY,正常,245010385,1
2002981,HC级,2017-10-28 15:41:00,广州基本点播组,互动电视,GZ101369,支持单片点播权限(按片付费),正常状态,00,R3259,0资费,2013-09-18 00:00:00,2050-01-01 00:00:00,2013-09-18 14:12:48,0,Y,BY,正常,245010385,1
2002981,HE级,2015-10-01 00:46:34,个人用户免费专区_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2013-09-18 00:00:00,2015-09-30 23:59:59,2013-09-18 14:12:48,NULL,N,YD,正常,245010385,0
2002981,HE级,2016-11-01 00:52:15,精彩点_点播,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2016-04-16 15:01:03,精彩点_点播,互动电视,GZ122407,互动49元包,正常状态,NULL,NULL,NULL,2015-10-01 00:00:00,2050-01-01 00:00:00,2015-09-03 18:57:51,NULL,N,BY,正常,2088327859,0
2002981,HE级,2017-10-28 15:41:00,标高清直播基本包_广州,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,BY,正常,2155351288,0
2002981,HE级,2015-10-01 00:46:34,应用类_点播,互动电视,00117902,[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),到期暂停状态,NULL,NULL,NULL,2013-09-18 00:00:00,2015-09-30 23:59:59,2013-09-18 14:12:48,NULL,N,YD,正常,245010385,0
2002981,HE级,2016-10-17 15:50:30,个人用户免费专区_点播,互动电视,GD000300,互动标准包,正常状态,NULL,NULL,NULL,2016-11-01 00:00:00,2050-01-01 00:00:00,2016-10-17 15:50:30,NULL,N,YY,正常,2155351288,0
2002981,HE级,2016-11-01 00:52:15,应用类点播组,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2016-11-01 00:52:15,所有基本节目_回看,互动电视,GZ122407,互动49元包,到期暂停状态,NULL,NULL,NULL,2015-10-01 00:00:00,2016-10-31 23:59:59,2015-09-03 18:57:51,NULL,N,YD,正常,2088327859,0
2002981,HE级,2015-10-01 00:46:34,所有基本节目_回看,互动电视,GZ122453,互动49元过渡包,到期暂停状态,NULL,NULL,NULL,2015-09-03 00:00:00,2015-09-30 23:59:59,2015-09-03 19:02:33,NULL,N,YD,正常,2088328067,1
2002981,HC级,2015-10-01 00:46:34,互动空指令产品,互动电视,GZ122453,互动49元过渡包,到期暂停状态,00,120776,互动49元过渡包-0元-1个月,2015-09-03 00:00:00,2015-09-30 23:59:59,2015-09-03 19:02:33,0,Y,YD,正常,2088328067,1
2006962,HE级,2013-12-03 16:22:24,标清直播基本包_广州,互动电视,GZ101253,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),正常状态,NULL,NULL,NULL,2013-12-03 00:00:00,2050-01-01 00:00:00,2013-12-03 16:22:24,NULL,N,YY,正常,255556103,0
2006962,HE级,2013-12-03 16:22:24,标高清直播基本包_广州,互动电视,GZ101253,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),正常状态,00,R2752,互动600预存-26.5元-捆快乐点2年-送6M体验,2013-12-03 00:00:00,2050-01-01 00:00:00,2013-12-03 16:22:24,26.5,Y,YY,正常,255556103,0
2006962,HE级,2016-01-01 00:39:20,所有基本节目_回看,互动电视,00133381,快乐点-2年-600元,到期暂停状态,NULL,NULL,NULL,2013-12-03 16:25:33,2015-12-31 23:59:59,2013-12-03 16:25:33,NULL,N,YD,正常,255556103,1
2006962,HC级,2014-01-02 13:07:20,带宽6M,互动电视,GZ101090,宽带6M附属(0元/30天),到期暂停状态,00,R2571,宽带6M附属(0元/30天),2013-12-03 00:00:00,2014-01-02 00:00:00,2013-12-03 16:22:24,0,Y,YD,正常,255556103,1
2006962,HE级,2016-01-01 00:39:20,所有基本节目_时移,互动电视,00133381,快乐点-2年-600元,到期暂停状态,NULL,NULL,NULL,2013-12-03 16:25:33,2015-12-31 23:59:59,2013-12-03 16:25:33,NULL,N,YD,正常,255556103,1
2006962,HC级,2017-07-01 14:43:11,高尔夫.网球频道,互动电视,GZ123042,赠送两套付费频道-1年-0元,正常状态,00,121642,赠送两套付费频道-1年-0元,2017-07-01 00:00:00,2018-06-30 23:59:59,2017-07-01 14:43:11,0,Y,YY,正常,2207392741,1
