phone_no	owner_name	optdate	prodname	sm_name	offerid	offername	business_name	owner_code	prodprcid	prodprcname	effdate	expdate	orderdate	cost	mode_time	prodstatus	run_name	orderno	offertype
2020484	EE级	2014/1/17 16:56	基本包	数字电视	BO005083	数字电视基本包八折 21.2-合同产品	销户状态	NULL	NULL	NULL	2013/4/1 0:00	2018/3/31 23:59	2013/3/27 16:40	NULL	N	YI	主动销户	218564994	0
2025188	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2025188	HC级	2010/2/1 2:14	有线电视	模拟有线电视	BO000569	有线电视－普通包(5元/月)	到期暂停状态	0	R0369	有线电视－普通包(5元/月)	2009/12/1 0:00	2010/1/31 23:59	2009/11/27 0:00	5	Y	YD	正常	1456454	0
2026022	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2026022	HC级	2010/2/1 2:24	有线电视	模拟有线电视	BO000569	有线电视－普通包(5元/月)	到期暂停状态	0	R0369	有线电视－普通包(5元/月)	2009/12/1 0:00	2010/1/31 23:59	2009/11/27 0:00	5	Y	YD	正常	1456454	0
2026097	HC级	2010/1/31 21:15	有线电视	模拟有线电视	BO000330	有线电视－普通包 (0元/月)	正常状态	0	R1672	有线电视－普通包 (0元/月)	2010/2/1 0:00	2030/1/1 23:59	2010/1/31 21:15	0	Y	YY	正常	76438271	0
2030339	HE级	2014/11/17 13:07	收藏天下	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2014/11/17 13:07	风云足球	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2015/1/29 16:50	应用类_点播	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	0
2030339	HE级	2014/11/17 13:07	都市剧场	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HC级	2014/12/10 15:18	关闭电视营业厅订购产品	互动电视	GZ122001	关闭电视营业厅订购功能	正常状态	0	120300	关闭电视营业厅功能-包月-0元	2014/12/10 0:00	2050/1/1 0:00	2014/12/10 15:18	0	Y	YY	正常	2046515727	1
2030339	HE级	2014/11/17 13:07	国防军事	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2014/11/17 13:07	第一剧场	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2014/11/17 13:07	所有基本节目_时移	互动电视	GZ100869	奥运抽奖专用-全时移回看包(0元/月)	到期暂停状态	NULL	NULL	NULL	2013/1/1 0:00	2013/1/31 23:59	2012/10/23 11:26	NULL	N	YD	正常	198126020	1
2030339	HC级	2014/11/17 13:07	劲爆体育	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	0	R1992	新十套付费节目(0元/半年)	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	0	Y	YD	正常	190511544	1
2030339	HE级	2015/1/29 16:50	个人用户免费专区_点播	互动电视	GZ122216	互动标准包(副卡)	正常状态	NULL	NULL	NULL	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	NULL	N	YY	正常	2052582282	0
2030339	HE级	2015/1/29 16:50	标高清直播基本包_广州	互动电视	GZ122216	互动标准包(副卡)	正常状态	NULL	NULL	NULL	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	NULL	N	YY	正常	2052582282	0
2030339	HE级	2015/1/29 16:50	所有基本节目_回看	互动电视	GZ122216	互动标准包(副卡)	正常状态	NULL	NULL	NULL	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	NULL	N	YY	正常	2052582282	0
2030339	HC级	2015/1/29 16:50	标清直播基本包_广州	互动电视	GZ122216	互动标准包(副卡)	正常状态	0	120543	互动标准包(副卡)-包月-26.5元	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	26.5	Y	YY	正常	2052582282	0
2030339	HE级	2014/11/17 13:07	发现之旅	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2015/1/29 16:50	基本组_点播	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	0
2030339	HE级	2014/11/17 13:07	全纪实	互动电视	GZ100867	新十套付费节目(0元/半年)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2013/2/28 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	1
2030339	HE级	2015/1/29 16:50	应用类_点播	互动电视	GZ122216	互动标准包(副卡)	正常状态	NULL	NULL	NULL	2015/1/1 0:00	2050/1/1 0:00	2015/1/29 16:50	NULL	N	YY	正常	2052582282	0
2030339	HE级	2015/4/22 11:03	基本组_点播	互动电视	GZ122216	互动标准包(副卡)	到期暂停状态	NULL	NULL	NULL	2015/1/1 0:00	2015/3/31 0:00	2015/1/29 16:50	NULL	N	YD	正常	2052582282	0
2030339	HE级	2015/1/29 16:50	标高清直播基本包_广州	互动电视	65548	优惠购机一(499元)(26.5元/月)	到期暂停状态	NULL	NULL	NULL	2012/8/29 0:00	2014/12/31 23:59	2012/8/29 22:18	NULL	N	YD	正常	190511544	0
